battAlias;country;continent;climate;iso_a3;model_series;var;val;descr;cnt_vhcl
Batt_11;Kuwait;Asia;hotland;KWT;294;variable_1;46;Beschreibung_1;46
Batt_11;Denmark;Europe;coldland;DNK;296;variable_1;86;Beschreibung_1;86
Batt_11;Estonia;Europe;normal;EST;167;variable_1;85;Beschreibung_1;85
Batt_11;Thailand;Asia;hotland;THA;222;variable_1;1999;Beschreibung_1;1999
Batt_11;Morocco;Africa;hotland;MAR;294;variable_1;37;Beschreibung_1;37
Batt_11;Abu Dhabi (UAE);Asia;normal;ARE;295;variable_1;135;Beschreibung_1;135
Batt_11;Spain;Europe;normal;ESP;205;variable_1;196;Beschreibung_1;196
Batt_11;Portugal;Europe;normal;PRT;451;variable_1;68;Beschreibung_1;68
Batt_11;Israel;Asia;normal;ISR;214;variable_1;14;Beschreibung_1;14
Batt_11;Japan;Asia;normal;JPN;214;variable_1;271;Beschreibung_1;271
Batt_11;Taiwan, province of China;Asia;normal;TWN;243;variable_1;1720;Beschreibung_1;1720
Batt_11;Spain;Europe;normal;ESP;253;variable_1;4919;Beschreibung_1;4919
Batt_11;Israel;Asia;normal;ISR;253;variable_1;1088;Beschreibung_1;1088
Batt_11;Romania;Europe;normal;ROU;297;variable_1;124;Beschreibung_1;124
Batt_11;Thailand;Asia;hotland;THA;223;variable_1;961;Beschreibung_1;961
Batt_11;Czech Republic;Europe;normal;CZE;206;variable_1;117;Beschreibung_1;117
Batt_11;Ireland;Europe;normal;IRL;294;variable_1;234;Beschreibung_1;234
Batt_11;Mauritius;;;;213;variable_1;76;Beschreibung_1;76
Batt_11;Austria;Europe;normal;AUT;451;variable_1;208;Beschreibung_1;208
Batt_11;Austria;Europe;normal;AUT;205;variable_1;262;Beschreibung_1;262
Batt_11;Jordan;Asia;normal;JOR;205;variable_1;273;Beschreibung_1;273
Batt_11;South Africa;Africa;hotland;ZAF;205;variable_1;38;Beschreibung_1;38
Batt_11;Norway;Europe;coldland;NOR;167;variable_1;2242;Beschreibung_1;2242
Batt_11;Slovakia (Slovak Republic);Europe;normal;SVK;294;variable_1;102;Beschreibung_1;102
Batt_11;Portugal;Europe;normal;PRT;213;variable_1;2900;Beschreibung_1;2900
Batt_11;Sweden;Europe;coldland;SWE;453;variable_1;32;Beschreibung_1;32
Batt_11;Sweden;Europe;coldland;SWE;205;variable_1;2491;Beschreibung_1;2491
Batt_11;Malaysia;Asia;hotland;MYS;222;variable_1;439;Beschreibung_1;439
Batt_11;Ireland;Europe;normal;IRL;206;variable_1;73;Beschreibung_1;73
Batt_11;Morocco;Africa;hotland;MAR;223;variable_1;38;Beschreibung_1;38
Batt_11;Lebanon;Asia;normal;LBN;295;variable_1;19;Beschreibung_1;19
Batt_11;Slovenia;Europe;normal;SVN;453;variable_1;245;Beschreibung_1;245
Batt_11;Vietnam;Asia;hotland;VNM;294;variable_1;29;Beschreibung_1;29
Batt_11;India;Asia;hotland;IND;296;variable_1;63;Beschreibung_1;63
Batt_11;French Polynesia;;;;247;variable_1;28;Beschreibung_1;28
Batt_11;Lithuania;Europe;normal;LTU;167;variable_1;98;Beschreibung_1;98
Batt_11;Greece;Europe;normal;GRC;294;variable_1;16;Beschreibung_1;16
Batt_11;Singapore;;;;253;variable_1;57;Beschreibung_1;57
Batt_11;Cayman Islands;;;;253;variable_1;29;Beschreibung_1;29
Batt_11;Poland;Europe;normal;POL;213;variable_1;484;Beschreibung_1;484
Batt_11;France;Europe;normal;FRA;205;variable_1;2150;Beschreibung_1;2150
Batt_11;Serbia;Europe;normal;SRB;296;variable_1;31;Beschreibung_1;31
Batt_11;Hungary;Europe;normal;HUN;296;variable_1;109;Beschreibung_1;109
Batt_11;Greece;Europe;normal;GRC;295;variable_1;16;Beschreibung_1;16
Batt_11;Slovenia;Europe;normal;SVN;254;variable_1;16;Beschreibung_1;16
Batt_11;French Polynesia;;;;253;variable_1;115;Beschreibung_1;115
Batt_11;Norway;Europe;coldland;NOR;177;variable_1;530;Beschreibung_1;530
Batt_11;Finland;Europe;coldland;FIN;166;variable_1;97;Beschreibung_1;97
Batt_11;Russia;Europe;coldland;RUS;166;variable_1;24;Beschreibung_1;24
Batt_11;China;Asia;normal;CHN;297;variable_1;4662;Beschreibung_1;4662
Batt_11;Belgium;Europe;normal;BEL;222;variable_1;408;Beschreibung_1;408
Batt_11;Denmark;Europe;coldland;DNK;253;variable_1;1099;Beschreibung_1;1099
Batt_11;Puerto Rico;North America;normal;PRI;453;variable_1;153;Beschreibung_1;153
Batt_11;Unknown;;;;205;variable_1;14;Beschreibung_1;14
Batt_11;Japan;Asia;normal;JPN;451;variable_1;665;Beschreibung_1;665
Batt_11;Singapore;;;;243;variable_1;426;Beschreibung_1;426
Batt_11;Sweden;Europe;coldland;SWE;206;variable_1;3736;Beschreibung_1;3736
Batt_11;Romania;Europe;normal;ROU;293;variable_1;164;Beschreibung_1;164
Batt_11;Korea (South);Asia;normal;KOR;222;variable_1;262;Beschreibung_1;262
Batt_11;Pakistan;Asia;hotland;PAK;297;variable_1;68;Beschreibung_1;68
Batt_11;Czech Republic;Europe;normal;CZE;296;variable_1;109;Beschreibung_1;109
Batt_11;Netherlands;Europe;normal;NLD;206;variable_1;1455;Beschreibung_1;1455
Batt_11;Spain;Europe;normal;ESP;177;variable_1;9199;Beschreibung_1;9199
Batt_11;Abu Dhabi (UAE);Asia;normal;ARE;243;variable_1;96;Beschreibung_1;96
Batt_11;Bulgaria;Europe;normal;BGR;167;variable_1;96;Beschreibung_1;96
Batt_11;Iceland;Europe;coldland;ISL;243;variable_1;462;Beschreibung_1;462
Batt_11;Ireland;Europe;normal;IRL;247;variable_1;326;Beschreibung_1;326
Batt_11;Italy;Europe;normal;ITA;118;variable_1;774;Beschreibung_1;774
Batt_11;United Kingdom of Great Britain and Northern Ireland;Europe;normal;GBR;177;variable_1;17742;Beschreibung_1;17742
Batt_11;Egypt;Africa;hotland;EGY;243;variable_1;64;Beschreibung_1;64
Batt_11;Israel;Asia;normal;ISR;222;variable_1;356;Beschreibung_1;356
Batt_11;France;Europe;normal;FRA;451;variable_1;1484;Beschreibung_1;1484
Batt_11;Mauritius;;;;206;variable_1;18;Beschreibung_1;18
Batt_11;Greece;Europe;normal;GRC;205;variable_1;93;Beschreibung_1;93
Batt_11;France;Europe;normal;FRA;296;variable_1;178;Beschreibung_1;178
Batt_11;Sweden;Europe;coldland;SWE;296;variable_1;151;Beschreibung_1;151
Batt_11;Portugal;Europe;normal;PRT;294;variable_1;496;Beschreibung_1;496
Batt_11;Greece;Europe;normal;GRC;293;variable_1;75;Beschreibung_1;75
Batt_11;Ukraine;Europe;normal;UKR;294;variable_1;64;Beschreibung_1;64
Batt_11;Czech Republic;Europe;normal;CZE;214;variable_1;95;Beschreibung_1;95
Batt_11;Saudi Arabia;Asia;hotland;SAU;296;variable_1;49;Beschreibung_1;49
Batt_11;USA;North America;normal;USA;296;variable_1;13222;Beschreibung_1;13222
Batt_11;Netherlands;Europe;normal;NLD;293;variable_1;1579;Beschreibung_1;1579
Batt_11;Denmark;Europe;coldland;DNK;247;variable_1;970;Beschreibung_1;970
Batt_11;Lebanon;Asia;normal;LBN;253;variable_1;68;Beschreibung_1;68
Batt_11;Portugal;Europe;normal;PRT;296;variable_1;158;Beschreibung_1;158
Batt_11;Mexico;North America;hotland;MEX;294;variable_1;288;Beschreibung_1;288
Batt_11;Malta;;;;177;variable_1;54;Beschreibung_1;54
Batt_11;Lithuania;Europe;normal;LTU;296;variable_1;18;Beschreibung_1;18
Batt_11;Hungary;Europe;normal;HUN;247;variable_1;444;Beschreibung_1;444
Batt_11;Bulgaria;Europe;normal;BGR;294;variable_1;38;Beschreibung_1;38
Batt_11;Israel;Asia;normal;ISR;294;variable_1;124;Beschreibung_1;124
Batt_11;Belgium;Europe;normal;BEL;253;variable_1;8198;Beschreibung_1;8198
Batt_11;Germany;Europe;normal;DEU;213;variable_1;41245;Beschreibung_1;41245
Batt_11;Thailand;Asia;hotland;THA;166;variable_1;974;Beschreibung_1;974
Batt_11;Canada;North America;coldland;CAN;453;variable_1;689;Beschreibung_1;689
Batt_11;Kuwait;Asia;hotland;KWT;297;variable_1;51;Beschreibung_1;51
Batt_11;United Kingdom of Great Britain and Northern Ireland;Europe;normal;GBR;243;variable_1;32070;Beschreibung_1;32070
Batt_11;Spain;Europe;normal;ESP;295;variable_1;1102;Beschreibung_1;1102
Batt_11;Ukraine;Europe;normal;UKR;293;variable_1;295;Beschreibung_1;295
Batt_11;Lithuania;Europe;normal;LTU;293;variable_1;29;Beschreibung_1;29
Batt_11;Abu Dhabi (UAE);Asia;normal;ARE;294;variable_1;55;Beschreibung_1;55
Batt_11;Indonesia;Asia;hotland;IDN;294;variable_1;40;Beschreibung_1;40
Batt_11;Croatia;Europe;normal;HRV;177;variable_1;42;Beschreibung_1;42
Batt_11;Italy;Europe;normal;ITA;297;variable_1;234;Beschreibung_1;234
Batt_11;Saudi Arabia;Asia;hotland;SAU;297;variable_1;177;Beschreibung_1;177
Batt_11;Slovakia (Slovak Republic);Europe;normal;SVK;213;variable_1;63;Beschreibung_1;63
Batt_11;Switzerland;Europe;normal;CHE;296;variable_1;316;Beschreibung_1;316
Batt_11;Italy;Europe;normal;ITA;247;variable_1;6796;Beschreibung_1;6796
Batt_11;Netherlands;Europe;normal;NLD;247;variable_1;1373;Beschreibung_1;1373
Batt_11;Norway;Europe;coldland;NOR;253;variable_1;6349;Beschreibung_1;6349
Batt_11;Czech Republic;Europe;normal;CZE;213;variable_1;195;Beschreibung_1;195
Batt_11;Spain;Europe;normal;ESP;222;variable_1;92;Beschreibung_1;92
Batt_11;Mexico;North America;hotland;MEX;295;variable_1;187;Beschreibung_1;187
Batt_11;Costa Rica;North America;normal;CRI;296;variable_1;31;Beschreibung_1;31
Batt_11;Lithuania;Europe;normal;LTU;243;variable_1;68;Beschreibung_1;68
Batt_11;Poland;Europe;normal;POL;296;variable_1;343;Beschreibung_1;343
Batt_11;Denmark;Europe;coldland;DNK;167;variable_1;1109;Beschreibung_1;1109
Batt_11;Portugal;Europe;normal;PRT;177;variable_1;6144;Beschreibung_1;6144
Batt_11;New Zealand;Oceania;normal;NZL;297;variable_1;26;Beschreibung_1;26
Batt_11;Colombia;South America;hotland;COL;294;variable_1;85;Beschreibung_1;85
Batt_11;Portugal;Europe;normal;PRT;297;variable_1;254;Beschreibung_1;254
Batt_11;West Banks;;;;214;variable_1;23;Beschreibung_1;23
Batt_11;Slovakia (Slovak Republic);Europe;normal;SVK;297;variable_1;83;Beschreibung_1;83
Batt_11;Japan;Asia;normal;JPN;243;variable_1;4606;Beschreibung_1;4606
Batt_11;Japan;Asia;normal;JPN;296;variable_1;924;Beschreibung_1;924
Batt_11;United Kingdom of Great Britain and Northern Ireland;Europe;normal;GBR;254;variable_1;1807;Beschreibung_1;1807
Batt_11;Israel;Asia;normal;ISR;118;variable_1;522;Beschreibung_1;522
Batt_11;Canada;North America;coldland;CAN;253;variable_1;487;Beschreibung_1;487
Batt_11;Denmark;Europe;coldland;DNK;243;variable_1;5868;Beschreibung_1;5868
Batt_11;Singapore;;;;254;variable_1;109;Beschreibung_1;109
Batt_11;Belgium;Europe;normal;BEL;293;variable_1;3218;Beschreibung_1;3218
Batt_11;Sweden;Europe;coldland;SWE;247;variable_1;1782;Beschreibung_1;1782
Batt_11;Ireland;Europe;normal;IRL;118;variable_1;327;Beschreibung_1;327
Batt_11;Romania;Europe;normal;ROU;253;variable_1;631;Beschreibung_1;631
Batt_11;Slovakia (Slovak Republic);Europe;normal;SVK;243;variable_1;276;Beschreibung_1;276
Batt_11;Netherlands;Europe;normal;NLD;296;variable_1;363;Beschreibung_1;363
Batt_11;Netherlands;Europe;normal;NLD;118;variable_1;2266;Beschreibung_1;2266
Batt_11;Switzerland;Europe;normal;CHE;253;variable_1;2290;Beschreibung_1;2290
Batt_11;Austria;Europe;normal;AUT;214;variable_1;361;Beschreibung_1;361
Batt_11;Israel;Asia;normal;ISR;297;variable_1;101;Beschreibung_1;101
Batt_11;Hong Kong;;;;243;variable_1;6804;Beschreibung_1;6804
Batt_11;Czech Republic;Europe;normal;CZE;295;variable_1;102;Beschreibung_1;102
Batt_11;France;Europe;normal;FRA;293;variable_1;1056;Beschreibung_1;1056
Batt_11;Germany;Europe;normal;DEU;118;variable_1;21801;Beschreibung_1;21801
Batt_11;Poland;Europe;normal;POL;253;variable_1;1239;Beschreibung_1;1239
Batt_11;Sweden;Europe;coldland;SWE;213;variable_1;4503;Beschreibung_1;4503
Batt_11;Austria;Europe;normal;AUT;453;variable_1;979;Beschreibung_1;979
Batt_11;Ireland;Europe;normal;IRL;297;variable_1;154;Beschreibung_1;154
Batt_11;Italy;Europe;normal;ITA;243;variable_1;4888;Beschreibung_1;4888
Batt_11;Romania;Europe;normal;ROU;243;variable_1;687;Beschreibung_1;687
Batt_11;Italy;Europe;normal;ITA;295;variable_1;633;Beschreibung_1;633
Batt_11;Austria;Europe;normal;AUT;223;variable_1;81;Beschreibung_1;81
Batt_11;Portugal;Europe;normal;PRT;293;variable_1;613;Beschreibung_1;613
Batt_11;Brazil;South America;hotland;BRA;293;variable_1;116;Beschreibung_1;116
Batt_11;Croatia;Europe;normal;HRV;247;variable_1;70;Beschreibung_1;70
Batt_11;United Kingdom of Great Britain and Northern Ireland;Europe;normal;GBR;118;variable_1;9130;Beschreibung_1;9130
Batt_11;Germany;Europe;normal;DEU;177;variable_1;35834;Beschreibung_1;35834
Batt_11;Bahrain;;;;243;variable_1;25;Beschreibung_1;25
Batt_11;Italy;Europe;normal;ITA;213;variable_1;898;Beschreibung_1;898
Batt_11;Romania;Europe;normal;ROU;206;variable_1;119;Beschreibung_1;119
Batt_11;Switzerland;Europe;normal;CHE;451;variable_1;434;Beschreibung_1;434
Batt_11;New Zealand;Oceania;normal;NZL;206;variable_1;87;Beschreibung_1;87
Batt_11;Unknown;;;;453;variable_1;91;Beschreibung_1;91
Batt_11;Austria;Europe;normal;AUT;296;variable_1;175;Beschreibung_1;175
Batt_11;Finland;Europe;coldland;FIN;295;variable_1;701;Beschreibung_1;701
Batt_11;China;Asia;normal;CHN;296;variable_1;2103;Beschreibung_1;2103
Batt_11;Sweden;Europe;coldland;SWE;118;variable_1;2398;Beschreibung_1;2398
Batt_11;Finland;Europe;coldland;FIN;294;variable_1;451;Beschreibung_1;451
Batt_11;United Kingdom of Great Britain and Northern Ireland;Europe;normal;GBR;297;variable_1;1550;Beschreibung_1;1550
Batt_11;Finland;Europe;coldland;FIN;297;variable_1;287;Beschreibung_1;287
Batt_11;Croatia;Europe;normal;HRV;254;variable_1;67;Beschreibung_1;67
Batt_11;Ireland;Europe;normal;IRL;236;variable_1;15;Beschreibung_1;15
Batt_11;Germany;Europe;normal;DEU;206;variable_1;21536;Beschreibung_1;21536
Batt_11;Sweden;Europe;coldland;SWE;294;variable_1;1546;Beschreibung_1;1546
Batt_11;Slovakia (Slovak Republic);Europe;normal;SVK;295;variable_1;58;Beschreibung_1;58
Batt_11;Japan;Asia;normal;JPN;294;variable_1;1043;Beschreibung_1;1043
Batt_11;Belgium;Europe;normal;BEL;177;variable_1;7480;Beschreibung_1;7480
Batt_11;Spain;Europe;normal;ESP;214;variable_1;304;Beschreibung_1;304
Batt_11;Unknown;;;;214;variable_1;44;Beschreibung_1;44
Batt_11;Bulgaria;Europe;normal;BGR;254;variable_1;72;Beschreibung_1;72
Batt_11;United Kingdom of Great Britain and Northern Ireland;Europe;normal;GBR;293;variable_1;20963;Beschreibung_1;20963
Batt_11;Israel;Asia;normal;ISR;293;variable_1;563;Beschreibung_1;563
Batt_11;Slovenia;Europe;normal;SVN;293;variable_1;49;Beschreibung_1;49
Batt_11;Czech Republic;Europe;normal;CZE;118;variable_1;215;Beschreibung_1;215
